referenceFournisseur,constructeur,slug,categoryId,status,isFeatured,nom_fr,nom_en,description_fr,description_en,ficheTechnique_fr,ficheTechnique_en,imageUrl
1128-P-1014,KEELER,pocket-ophthalmoscope-1128-p-1014,ophthalmology-surgical,active,,Pocket ophthalmoscope,Pocket Ophthalmoscope,Portable et compact pocket ophthalmoscope pour ward et gp usefull diagnostic capacity dans a compact instrument make the pocket ophthalmoscope ideal pour the practitioner sur the move. an ideal choice pour domiciliary et ward use ou as a backup instrument. features: slimline conception fits neatly dans your pocket. cristallin powers range de +20d to -20d pour clear et effortless examination de oculaire structures. strong metal clip that can be attached to a pocket. five diagnostic beams pour full diagnostic capabili,Portable and compact pocket ophthalmoscope for ward and GP useFull diagnostic capacity in a compact instrument make the Pocket ophthalmoscope ideal for the Practitioner on the move. An ideal choice for domiciliary and ward use or as a backup instrument.Features:Slimline design fits neatly in your pocket.Lens powers range from +20D to -20D for clear and effortless examination of ocular structures.Strong metal clip that can be attached to a pocket.Five diagnostic beams for full diagnostic capabili,"Lens powers range: Lens powers range from +20D to -20D for clear and effortless examination of ocular structures.; Macular for a: Macular for a detailed examination of the central retina, reducing excessive pupillary reaction and patient discomfort; Intermediate – Permits: Intermediate – Permits easier access through and undilated pupil and in peripheral examination. Particularly useful in paediatric examination.; Red Free –: Red Free – The red free filter is used to examine blood vessels in fine detail. By filtering out the red light, blood vessels are silhouetted against a dark green background.; Fixation Cross –: Fixation Cross – Projects a graticule onto the retina for assessment of the degree and direction of eccentric fixation.","Lens powers range: Lens powers range from +20D to -20D for clear and effortless examination of ocular structures.; Macular for a: Macular for a detailed examination of the central retina, reducing excessive pupillary reaction and patient discomfort; Intermediate – Permits: Intermediate – Permits easier access through and undilated pupil and in peripheral examination. Particularly useful in paediatric examination.; Red Free –: Red Free – The red free filter is used to examine blood vessels in fine detail. By filtering out the red light, blood vessels are silhouetted against a dark green background.; Fixation Cross –: Fixation Cross – Projects a graticule onto the retina for assessment of the degree and direction of eccentric fixation.",https://www.keelerglobal.com/wp-content/uploads/2024/02/1102-P-1041-8-jpg.webp
1128-P-1013,KEELER,lithium-battery-for-wireless-vantage-plus-standard,ophthalmology-surgical,active,,Lithium battery pour wireless vantage plus (standard),Lithium battery for wireless Vantage Plus (Standard),"Power your indirect avec easelithium battery pour use avec the wireless vantage plus (standard). features: fits neatly into the charging unit. original lithium battery lasts up to 11 hours de use. helping our customers bring an end to preventable vision loss. keeler ltdclewer hill road, windsor, berkshire sl4 4aa uktel: +44 (0) 1753 857 177","Power your indirect with easeLithium battery for use with the wireless Vantage PLus (standard).Features:Fits neatly into the charging unit.Original lithium battery lasts up to 11 hours of use. Helping our customers bring an end to preventable vision loss. Keeler LtdClewer Hill Road, Windsor, Berkshire SL4 4AA UKTel: +44 (0) 1753 857 177",Image Magnification: Vantage Plus Hi Mag lens1202-P-7192,Image Magnification: Vantage Plus Hi Mag lens1202-P-7192,https://www.keelerglobal.com/wp-content/uploads/2024/02/1919-P-1013-7-jpg.webp
1128-P-1008,KEELER,all-pupil-2-led-upgrade-1128-p-1008,ophthalmology-surgical,active,,All pupil 2 led upgrade,All Pupil 2 LED upgrade,"Léger(ère), bright et easy to usethis led upgrade plugs into the back de your all pupil ii to give you all the benefits de led illumination. features: led cooler colour provides brighter, whiter illumination. freedom de purchasing bulbsan led life expectancy up to 10,000 hours. includes 5 years warranty. helping our customers bring an end to preventable vision loss. keeler ltdclewer hill road, windsor, berkshire sl4 4aa uktel: +44 (0) 1753 857 177","Light, bright and easy to useThis LED upgrade plugs into the back of your All Pupil II to give you all the benefits of LED illumination.Features:LED cooler colour provides brighter, whiter illumination.Freedom from purchasing bulbsAn LED life expectancy up to 10,000 hours.Includes 5 years warranty. Helping our customers bring an end to preventable vision loss. Keeler LtdClewer Hill Road, Windsor, Berkshire SL4 4AA UKTel: +44 (0) 1753 857 177","An LED life: An LED life expectancy up to 10,000 hours.","An LED life: An LED life expectancy up to 10,000 hours.",https://www.keelerglobal.com/wp-content/uploads/2024/02/all-pupill-ii-a4-sheet-250-250-jpg.webp
1128-P-1004,KEELER,pocket-ophthalmoscope-1128-p-1004,ophthalmology-surgical,active,,Pocket ophthalmoscope,Pocket Ophthalmoscope,Portable et compact pocket ophthalmoscope pour ward et gp usefull diagnostic capacity dans a compact instrument make the pocket ophthalmoscope ideal pour the practitioner sur the move. an ideal choice pour domiciliary et ward use ou as a backup instrument. features: slimline conception fits neatly dans your pocket. cristallin powers range de +20d to -20d pour clear et effortless examination de oculaire structures. strong metal clip that can be attached to a pocket. five diagnostic beams pour full diagnostic capabili,Portable and compact pocket ophthalmoscope for ward and GP useFull diagnostic capacity in a compact instrument make the Pocket ophthalmoscope ideal for the Practitioner on the move. An ideal choice for domiciliary and ward use or as a backup instrument.Features:Slimline design fits neatly in your pocket.Lens powers range from +20D to -20D for clear and effortless examination of ocular structures.Strong metal clip that can be attached to a pocket.Five diagnostic beams for full diagnostic capabili,"Lens powers range: Lens powers range from +20D to -20D for clear and effortless examination of ocular structures.; Macular for a: Macular for a detailed examination of the central retina, reducing excessive pupillary reaction and patient discomfort; Intermediate – Permits: Intermediate – Permits easier access through and undilated pupil and in peripheral examination. Particularly useful in paediatric examination.; Red Free –: Red Free – The red free filter is used to examine blood vessels in fine detail. By filtering out the red light, blood vessels are silhouetted against a dark green background.; Fixation Cross –: Fixation Cross – Projects a graticule onto the retina for assessment of the degree and direction of eccentric fixation.","Lens powers range: Lens powers range from +20D to -20D for clear and effortless examination of ocular structures.; Macular for a: Macular for a detailed examination of the central retina, reducing excessive pupillary reaction and patient discomfort; Intermediate – Permits: Intermediate – Permits easier access through and undilated pupil and in peripheral examination. Particularly useful in paediatric examination.; Red Free –: Red Free – The red free filter is used to examine blood vessels in fine detail. By filtering out the red light, blood vessels are silhouetted against a dark green background.; Fixation Cross –: Fixation Cross – Projects a graticule onto the retina for assessment of the degree and direction of eccentric fixation.",https://www.keelerglobal.com/wp-content/uploads/2024/02/1102-P-1041-8-jpg.webp
2199-P-7531,KEELER,montura-deportiva-keeler-est-ndar-copy-2199-p-7531,ophthalmology-surgical,active,,Montura deportiva keeler (estándar) (copy),Montura deportiva Keeler (estándar) (Copy),Monturas de lupa modernas y cómodas en distintos coloresla extraordinaria montura deportiva keeler está disponible en varios colores brillantes y se adapta a todas las graduaciones. todas las lupas quirúrgicas y dentales (keeler) están disponibles en monturas nuevas. características: la popular montura deportiva ligera de keeler con pantalla protectora. ultraportátil. incluye 2 piezas nasales ajustables para mayor comodidad. totalmente personalizadas: elija el color de las monturas que prefiera ayuda,Monturas de lupa modernas y cómodas en distintos coloresLa extraordinaria montura deportiva Keeler está disponible en varios colores brillantes y se adapta a todas las graduaciones. Todas las lupas quirúrgicas y dentales (Keeler) están disponibles en monturas nuevas.Características:La popular montura deportiva ligera de Keeler con pantalla protectora.Ultraportátil.Incluye 2 piezas nasales ajustables para mayor comodidad.Totalmente personalizadas: elija el color de las monturas que prefiera Ayuda,Totalmente personalizadas: elija el color de las monturas que prefiera,Totalmente personalizadas: elija el color de las monturas que prefiera,https://www.keelerglobal.com/wp-content/uploads/2025/10/LOU-ST-2112-P-1002-to-1025-3.jpg
1128-P-1003,KEELER,led-practitioner-otoscope-1128-p-1003,ophthalmology-surgical,active,,Led practitioner otoscope,LED Practitioner Otoscope,"The industry leader pour hospital et gen med use, now avec led illuminationthe keeler led practitioner otoscope is the popular choice pour hospitals et gen med customers. the new led practitioner otoscope (available as a full dispositif ou a head upgrade) offers a brighter et longer lasting battery vs. keeler’s renowned halogen bulb. features: unobstructed open style head pour easy introduction de small instruments pour wax ou foreign body removallarge slide aside 2.5x cristallin pour clear view de aural stru","The industry leader for hospital and Gen Med use, now with LED illuminationThe Keeler LED Practitioner Otoscope is the popular choice for hospitals and Gen Med customers. The new LED Practitioner Otoscope (available as a full device or a head upgrade) offers a brighter and longer lasting battery vs. Keeler’s renowned halogen bulb.Features:Unobstructed open style head for easy introduction of small instruments for wax or foreign body removalLarge slide aside 2.5x lens for clear view of aural stru","Unobstructed open style: Unobstructed open style head for easy introduction of small instruments for wax or foreign body removal; Image Magnification: Large slide aside 2.5x lens for clear view of aural structures and procedures under magnification; Five permanent Speculae (diameters: 2.5mm, 3.5mm, 4.5mm, 5.5mm and 8mm); 2.4V models require: 2.4V models require 2x AA batteries to be supplied by user","Unobstructed open style: Unobstructed open style head for easy introduction of small instruments for wax or foreign body removal; Image Magnification: Large slide aside 2.5x lens for clear view of aural structures and procedures under magnification; Five permanent Speculae (diameters: 2.5mm, 3.5mm, 4.5mm, 5.5mm and 8mm); 2.4V models require: 2.4V models require 2x AA batteries to be supplied by user",https://www.keelerglobal.com/wp-content/uploads/2024/08/ledpractitionerotoscope.png
1011-P-7042,KEELER,pack-of-four-assorted-colour-handle-sleeves-1011-p,ophthalmology-surgical,active,,Pack de four assorted colour handle sleeves,Pack of four assorted colour handle sleeves,"Add some colour to your diagnostic areanow available dans four funky colours, these grips are not only fun but functional too! helping our customers bring an end to preventable vision loss. keeler ltdclewer hill road, windsor, berkshire sl4 4aa uktel: +44 (0) 1753 857 177","Add some colour to your diagnostic areaNow available in four funky colours, these grips are not only fun but functional too! Helping our customers bring an end to preventable vision loss. Keeler LtdClewer Hill Road, Windsor, Berkshire SL4 4AA UKTel: +44 (0) 1753 857 177","1 x Pink: 1 x Pink rubber grip; 1 x Green: 1 x Green rubber grip; 1 x Blue: 1 x Blue rubber grip; 1 x Black: 1 x Black rubber grip; Professional Spot Retinoscope: Professional Spot Retinoscope head onlyProfessional Spot Retinoscope head only; Dispos-a-spec wall dispenser: Dispos-a-spec wall dispenser with 25x 2.5mm, 3.5mm, 4.5mm, 5.5mm specula1964-P-2000","1 x Pink: 1 x Pink rubber grip; 1 x Green: 1 x Green rubber grip; 1 x Blue: 1 x Blue rubber grip; 1 x Black: 1 x Black rubber grip; Professional Spot Retinoscope: Professional Spot Retinoscope head onlyProfessional Spot Retinoscope head only; Dispos-a-spec wall dispenser: Dispos-a-spec wall dispenser with 25x 2.5mm, 3.5mm, 4.5mm, 5.5mm specula1964-P-2000",https://www.keelerglobal.com/wp-content/uploads/2024/02/1901-P-7052-16-jpg.webp
1011-P-7034,KEELER,binocular-indirect-face-shield-1011-p-7034,ophthalmology-surgical,active,,Binocular indirect face shield,Binocular indirect face shield,Keep users et patients safe when using indirects. this binocular indirect shield provides a barrier between the patient et user to reduce the potential transmission de harmful viruses. features: designed to fit keeler all pupil et vantage plus bios. scratch et defect free shield held dans place par the buttons sur the headband foam liner. shield measures 275mm w x 190mm h (10.8″ w x 7.5″ h). robust shield made out de 0.5-0.8mm thick clear polyethylene terephthalate. helping our customers bring an end,Keep users and patients safe when using indirects.This binocular indirect shield provides a barrier between the patient and user to reduce the potential transmission of harmful viruses.Features:Designed to fit Keeler All Pupil and Vantage Plus BIOs.Scratch and defect free shield held in place by the buttons on the headband foam liner.Shield measures 275mm W x 190mm H (10.8″ W x 7.5″ H).Robust shield made out of 0.5-0.8mm thick clear polyethylene terephthalate. Helping our customers bring an end,Shield measures 275mm: Shield measures 275mm W x 190mm H (10.8″ W x 7.5″ H).; Robust shield made: Robust shield made out of 0.5-0.8mm thick clear polyethylene terephthalate.; Image Magnification: Vantage Plus Hi Mag lens1202-P-7192,Shield measures 275mm: Shield measures 275mm W x 190mm H (10.8″ W x 7.5″ H).; Robust shield made: Robust shield made out of 0.5-0.8mm thick clear polyethylene terephthalate.; Image Magnification: Vantage Plus Hi Mag lens1202-P-7192,https://www.keelerglobal.com/wp-content/uploads/2024/02/1205-P-7034-8-jpg.webp
1514-P-1064,KEELER,led-fibre-optic-otoscope-1514-p-1064,ophthalmology-surgical,active,,Led fibre optic otoscope,LED Fibre Optic Otoscope,"New pour 2024: a brighter, clearer view avec led illuminationthe keeler led fibre optic otoscope is a premium product used par ent professionals et specialists. new led fibre optic otoscope (available as a full dispositif ou a head upgrade) transmits léger(ère) via optic fibres pour homogeneous illumination leading to clear et accurate aural diagnosis. features: fibre optic otoscope head avec led illumination module (keeler’s brightest léger(ère) avec longer lasting battery vs traditional halogen bulb)large head","New for 2024: a brighter, clearer view with LED illuminationThe Keeler LED Fibre Optic Otoscope is a premium product used by ENT professionals and specialists. New LED Fibre Optic Otoscope (available as a full device or a head upgrade) transmits light via optic fibres for homogeneous illumination leading to clear and accurate aural diagnosis.Features:Fibre Optic Otoscope head with LED illumination module (Keeler’s brightest light with longer lasting battery vs traditional Halogen Bulb)Large head","Image Magnification: Large slide aside 2.5x lens for clear view of aural structures and foreign body removal procedures under magnification; Five permanent Speculae (diameters: 2.5mm, 3.5mm, 4.5mm, 5.5mm and 8mm); 2.4V models require: 2.4V models require 2x AA batteries to be supplied by user","Image Magnification: Large slide aside 2.5x lens for clear view of aural structures and foreign body removal procedures under magnification; Five permanent Speculae (diameters: 2.5mm, 3.5mm, 4.5mm, 5.5mm and 8mm); 2.4V models require: 2.4V models require 2x AA batteries to be supplied by user",https://www.keelerglobal.com/wp-content/uploads/2024/08/ledfibreopticotoscope-1.png
1128-P-1017,KEELER,pocket-ophthalmoscope-1128-p-1017,ophthalmology-surgical,active,,Pocket ophthalmoscope,Pocket Ophthalmoscope,Portable et compact pocket ophthalmoscope pour ward et gp usefull diagnostic capacity dans a compact instrument make the pocket ophthalmoscope ideal pour the practitioner sur the move. an ideal choice pour domiciliary et ward use ou as a backup instrument. features: slimline conception fits neatly dans your pocket. cristallin powers range de +20d to -20d pour clear et effortless examination de oculaire structures. strong metal clip that can be attached to a pocket. five diagnostic beams pour full diagnostic capabili,Portable and compact pocket ophthalmoscope for ward and GP useFull diagnostic capacity in a compact instrument make the Pocket ophthalmoscope ideal for the Practitioner on the move. An ideal choice for domiciliary and ward use or as a backup instrument.Features:Slimline design fits neatly in your pocket.Lens powers range from +20D to -20D for clear and effortless examination of ocular structures.Strong metal clip that can be attached to a pocket.Five diagnostic beams for full diagnostic capabili,"Lens powers range: Lens powers range from +20D to -20D for clear and effortless examination of ocular structures.; Macular for a: Macular for a detailed examination of the central retina, reducing excessive pupillary reaction and patient discomfort; Intermediate – Permits: Intermediate – Permits easier access through and undilated pupil and in peripheral examination. Particularly useful in paediatric examination.; Red Free –: Red Free – The red free filter is used to examine blood vessels in fine detail. By filtering out the red light, blood vessels are silhouetted against a dark green background.; Fixation Cross –: Fixation Cross – Projects a graticule onto the retina for assessment of the degree and direction of eccentric fixation.","Lens powers range: Lens powers range from +20D to -20D for clear and effortless examination of ocular structures.; Macular for a: Macular for a detailed examination of the central retina, reducing excessive pupillary reaction and patient discomfort; Intermediate – Permits: Intermediate – Permits easier access through and undilated pupil and in peripheral examination. Particularly useful in paediatric examination.; Red Free –: Red Free – The red free filter is used to examine blood vessels in fine detail. By filtering out the red light, blood vessels are silhouetted against a dark green background.; Fixation Cross –: Fixation Cross – Projects a graticule onto the retina for assessment of the degree and direction of eccentric fixation.",https://www.keelerglobal.com/wp-content/uploads/2024/02/1102-P-1041-8-jpg.webp
3020-P-2007,KEELER,l-mpara-de-hendidura-port-til-keeler-psl-one-3020-,ophthalmology-surgical,active,,Lámpara de hendidura portátil keeler psl one,Lámpara de hendidura portátil Keeler PSL One,"La one combina portabilidad con una óptica excepcionalla psl one viene con 10 aumentos para una agudeza extraordinaria. diseñada y fabricada con la resistencia necesaria para soportar los traumas diarios del exigente entorno oftalmológico, la psl es ligera, duradera y resistente. características exclusivas como los objetivos de fijación y el parche de luz cuadrado de 1 mm para evaluar el destello a/c establecen el nuevo estándar para las lámparas de hendidura portátiles. características: chasis de","La One combina portabilidad con una óptica excepcionalLa PSL One viene con 10 aumentos para una agudeza extraordinaria. Diseñada y fabricada con la resistencia necesaria para soportar los traumas diarios del exigente entorno oftalmológico, la PSL es ligera, duradera y resistente. Características exclusivas como los objetivos de fijación y el parche de luz cuadrado de 1 mm para evaluar el destello a/c establecen el nuevo estándar para las lámparas de hendidura portátiles.Características:Chasis de","Óptica avanzada, aumento: Óptica avanzada, aumento 10x; Iluminación controlable de: Iluminación controlable de cero a máxima; Óptica Keeler excepcional: Óptica Keeler excepcional; Apertura cuadrada de: Apertura cuadrada de 1 mm para evaluación de uveítis; Experiencia y calidad: Experiencia y calidad de fabricación británica que ofrece un gran valor","Óptica avanzada, aumento: Óptica avanzada, aumento 10x; Iluminación controlable de: Iluminación controlable de cero a máxima; Óptica Keeler excepcional: Óptica Keeler excepcional; Apertura cuadrada de: Apertura cuadrada de 1 mm para evaluación de uveítis; Experiencia y calidad: Experiencia y calidad de fabricación británica que ofrece un gran valor",https://www.keelerglobal.com/wp-content/uploads/2024/02/3010-P-2001-6-jpg.webp
2113-P-2010,KEELER,z-kat-ton-metro-de-aplanaci-n-tipo-zeiss-2113-p-20,ophthalmology-surgical,active,,Z-kat: tonómetro de aplanación tipo zeiss,Z-KAT: tonómetro de aplanación tipo Zeiss,"Fiabilidad y facilidad de usodescubra la mayor seguridad de un tonómetro de aplanación digital keeler (d-kat); un tonómetro goldmann sin posibilidad de cometer error humano. como accesorio para la lámpara de hendidura tipo “iluminación de torre”, el z-kat se ha diseñado específicamente para su fijación en la unidad tipo zeiss y está equipado con una pantalla led y un sistema electrónico interno para garantizar mediciones rápidas y precisas. beneficios: diseñado para la lámpara de hendidura de ilumi","Fiabilidad y facilidad de usoDescubra la mayor seguridad de un tonómetro de aplanación digital Keeler (D-KAT); un tonómetro Goldmann sin posibilidad de cometer error humano.Como accesorio para la lámpara de hendidura tipo “iluminación de torre”, el Z-KAT se ha diseñado específicamente para su fijación en la unidad tipo Zeiss y está equipado con una pantalla LED y un sistema electrónico interno para garantizar mediciones rápidas y precisas.Beneficios:Diseñado para la lámpara de hendidura de ilumi",Diagnóstico fiable: tonometría en su máxima expresión; Pantalla LED: para facilitar su uso en entornos oscuros; D-KAT T: tonómetro de aplanación desmontable; KAT T: tonómetro de aplanación desmontable; KAT R: tonómetro de aplanación fijo,Diagnóstico fiable: tonometría en su máxima expresión; Pantalla LED: para facilitar su uso en entornos oscuros; D-KAT T: tonómetro de aplanación desmontable; KAT T: tonómetro de aplanación desmontable; KAT R: tonómetro de aplanación fijo,https://www.keelerglobal.com/wp-content/uploads/2024/02/2414-P-2010.webp
3020-P-2006,KEELER,l-mpara-de-hendidura-port-til-keeler-psl-one-3020-,ophthalmology-surgical,active,,Lámpara de hendidura portátil keeler psl one,Lámpara de hendidura portátil Keeler PSL One,"La one combina portabilidad con una óptica excepcionalla psl one viene con 10 aumentos para una agudeza extraordinaria. diseñada y fabricada con la resistencia necesaria para soportar los traumas diarios del exigente entorno oftalmológico, la psl es ligera, duradera y resistente. características exclusivas como los objetivos de fijación y el parche de luz cuadrado de 1 mm para evaluar el destello a/c establecen el nuevo estándar para las lámparas de hendidura portátiles. características: chasis de","La One combina portabilidad con una óptica excepcionalLa PSL One viene con 10 aumentos para una agudeza extraordinaria. Diseñada y fabricada con la resistencia necesaria para soportar los traumas diarios del exigente entorno oftalmológico, la PSL es ligera, duradera y resistente. Características exclusivas como los objetivos de fijación y el parche de luz cuadrado de 1 mm para evaluar el destello a/c establecen el nuevo estándar para las lámparas de hendidura portátiles.Características:Chasis de","Óptica avanzada, aumento: Óptica avanzada, aumento 10x; Iluminación controlable de: Iluminación controlable de cero a máxima; Óptica Keeler excepcional: Óptica Keeler excepcional; Apertura cuadrada de: Apertura cuadrada de 1 mm para evaluación de uveítis; Experiencia y calidad: Experiencia y calidad de fabricación británica que ofrece un gran valor","Óptica avanzada, aumento: Óptica avanzada, aumento 10x; Iluminación controlable de: Iluminación controlable de cero a máxima; Óptica Keeler excepcional: Óptica Keeler excepcional; Apertura cuadrada de: Apertura cuadrada de 1 mm para evaluación de uveítis; Experiencia y calidad: Experiencia y calidad de fabricación británica que ofrece un gran valor",https://www.keelerglobal.com/wp-content/uploads/2024/02/3010-P-2001-6-jpg.webp
1513-P-7034,KEELER,binocular-indirect-face-shield-1513-p-7034,ophthalmology-surgical,active,,Binocular indirect face shield,Binocular indirect face shield,Keep users et patients safe when using indirects. this binocular indirect shield provides a barrier between the patient et user to reduce the potential transmission de harmful viruses. features: designed to fit keeler all pupil et vantage plus bios. scratch et defect free shield held dans place par the buttons sur the headband foam liner. shield measures 275mm w x 190mm h (10.8″ w x 7.5″ h). robust shield made out de 0.5-0.8mm thick clear polyethylene terephthalate. helping our customers bring an end,Keep users and patients safe when using indirects.This binocular indirect shield provides a barrier between the patient and user to reduce the potential transmission of harmful viruses.Features:Designed to fit Keeler All Pupil and Vantage Plus BIOs.Scratch and defect free shield held in place by the buttons on the headband foam liner.Shield measures 275mm W x 190mm H (10.8″ W x 7.5″ H).Robust shield made out of 0.5-0.8mm thick clear polyethylene terephthalate. Helping our customers bring an end,Shield measures 275mm: Shield measures 275mm W x 190mm H (10.8″ W x 7.5″ H).; Robust shield made: Robust shield made out of 0.5-0.8mm thick clear polyethylene terephthalate.; Image Magnification: Vantage Plus Hi Mag lens1202-P-7192,Shield measures 275mm: Shield measures 275mm W x 190mm H (10.8″ W x 7.5″ H).; Robust shield made: Robust shield made out of 0.5-0.8mm thick clear polyethylene terephthalate.; Image Magnification: Vantage Plus Hi Mag lens1202-P-7192,https://www.keelerglobal.com/wp-content/uploads/2024/02/1205-P-7034-8-jpg.webp
2113-P-2004,KEELER,sistema-prism-tico-supervu-xl-4-5x-2113-p-2004,ophthalmology-surgical,active,,Sistema prismático supervu xl 4.5x,Sistema prismático SuperVu XL 4.5x,"Aumento de 4.5x para procedimientos quirúrgicos avanzadoslos sistemas de lupas quirúrgicas prismáticas keeler supervu xl tienen un aumento de 4.5x y se suministran en un estuche de transporte blando e incluyen una montura deportiva, una palanca abatible esterilizable en autoclave y un paño de limpieza. características: mayor aumento para procedimientos quirúrgicos avanzados. la calidad prismática garantiza una imagen real. claridad de borde a borde y reproducción precisa del color, ideal para aplica","Aumento de 4.5x para procedimientos quirúrgicos avanzadosLos sistemas de lupas quirúrgicas prismáticas Keeler SuperVu XL tienen un aumento de 4.5x y se suministran en un estuche de transporte blando e incluyen una montura deportiva, una palanca abatible esterilizable en autoclave y un paño de limpieza.Características:Mayor aumento para procedimientos quirúrgicos avanzados.La calidad prismática garantiza una imagen real.Claridad de borde a borde y reproducción precisa del color, ideal para aplica",Image Magnification: Los lentes de precisión de la XL están tratados con una capa antirreflejo para producir una imagen óptima.; Sistema prismático SuperVu: Sistema prismático SuperVu XL 3.5x,Image Magnification: Los lentes de precisión de la XL están tratados con una capa antirreflejo para producir una imagen óptima.; Sistema prismático SuperVu: Sistema prismático SuperVu XL 3.5x,https://www.keelerglobal.com/wp-content/uploads/2024/02/2113-P-6024-7-jpg.webp
1127-P-1010,KEELER,pocket-ophthalmoscope-1127-p-1010,ophthalmology-surgical,active,,Pocket ophthalmoscope,Pocket Ophthalmoscope,Portable et compact pocket ophthalmoscope pour ward et gp usefull diagnostic capacity dans a compact instrument make the pocket ophthalmoscope ideal pour the practitioner sur the move. an ideal choice pour domiciliary et ward use ou as a backup instrument. features: slimline conception fits neatly dans your pocket. cristallin powers range de +20d to -20d pour clear et effortless examination de oculaire structures. strong metal clip that can be attached to a pocket. five diagnostic beams pour full diagnostic capabili,Portable and compact pocket ophthalmoscope for ward and GP useFull diagnostic capacity in a compact instrument make the Pocket ophthalmoscope ideal for the Practitioner on the move. An ideal choice for domiciliary and ward use or as a backup instrument.Features:Slimline design fits neatly in your pocket.Lens powers range from +20D to -20D for clear and effortless examination of ocular structures.Strong metal clip that can be attached to a pocket.Five diagnostic beams for full diagnostic capabili,"Lens powers range: Lens powers range from +20D to -20D for clear and effortless examination of ocular structures.; Macular for a: Macular for a detailed examination of the central retina, reducing excessive pupillary reaction and patient discomfort; Intermediate – Permits: Intermediate – Permits easier access through and undilated pupil and in peripheral examination. Particularly useful in paediatric examination.; Red Free –: Red Free – The red free filter is used to examine blood vessels in fine detail. By filtering out the red light, blood vessels are silhouetted against a dark green background.; Fixation Cross –: Fixation Cross – Projects a graticule onto the retina for assessment of the degree and direction of eccentric fixation.","Lens powers range: Lens powers range from +20D to -20D for clear and effortless examination of ocular structures.; Macular for a: Macular for a detailed examination of the central retina, reducing excessive pupillary reaction and patient discomfort; Intermediate – Permits: Intermediate – Permits easier access through and undilated pupil and in peripheral examination. Particularly useful in paediatric examination.; Red Free –: Red Free – The red free filter is used to examine blood vessels in fine detail. By filtering out the red light, blood vessels are silhouetted against a dark green background.; Fixation Cross –: Fixation Cross – Projects a graticule onto the retina for assessment of the degree and direction of eccentric fixation.",https://www.keelerglobal.com/wp-content/uploads/2024/02/1102-P-1041-8-jpg.webp
